url_length,hostname_length,path_length,count_hyphens,count_dots,count_at,count_questionmark,count_equals,count_slashes,count_digits,has_ip,has_https,is_shortened
64,16,40,4,2,0,0,0,3,7,0,1,0
128,50,20,1,4,0,1,3,5,24,0,1,0
79,11,60,2,6,0,0,0,8,0,0,1,1
99,16,9,2,2,0,1,3,4,11,0,0,0
44,14,23,0,3,0,0,0,5,7,0,0,0
56,16,18,1,3,0,1,0,4,14,0,0,0
109,20,82,1,3,0,0,0,9,22,0,0,0
41,10,23,2,1,0,0,0,7,0,0,1,0
29,21,1,0,3,0,0,0,3,6,0,0,0
27,15,5,0,2,0,0,0,4,0,0,0,0
94,28,59,1,3,0,0,0,6,25,0,0,0
33,24,1,0,2,0,0,0,3,0,0,1,0
24,15,1,0,2,0,0,0,3,1,0,1,0
21,13,1,0,2,0,0,0,3,0,0,0,0
243,12,224,2,4,0,0,0,8,26,0,0,0
22,13,1,0,2,0,0,0,3,0,0,1,0
21,12,1,0,1,0,0,0,3,0,0,1,0
53,19,27,0,2,0,0,0,4,2,0,0,0
39,25,7,0,2,0,0,0,4,0,0,0,0
47,17,23,1,3,0,0,0,5,0,0,0,0
32,23,1,0,3,0,0,0,3,0,0,1,0
35,23,4,1,2,0,0,0,4,0,0,1,1
122,46,20,0,5,0,1,3,5,21,0,1,0
24,17,0,0,1,0,0,0,2,0,0,0,0
34,25,1,0,2,0,0,0,3,0,0,1,0
392,11,10,0,24,1,2,10,21,15,0,0,0
50,14,29,0,2,0,0,0,5,0,0,0,0
54,13,34,0,3,0,0,0,4,6,0,0,0
52,16,28,2,2,0,0,0,4,0,0,1,0
29,22,0,0,2,0,0,0,2,0,0,0,0
38,15,16,1,2,0,0,0,4,0,0,0,0
39,25,6,0,2,0,0,0,3,8,0,1,0
32,13,12,0,4,0,0,0,3,10,0,0,0
102,13,81,10,1,0,0,0,5,6,0,1,0
18,11,0,0,1,0,0,0,2,0,0,0,0
58,40,11,3,4,0,0,0,3,6,0,0,1
33,24,1,0,2,0,0,0,3,0,0,1,0
98,17,73,2,6,0,0,0,5,0,0,1,1
81,18,56,0,7,0,0,0,7,2,0,0,0
64,35,21,0,5,0,0,0,5,14,0,1,1
49,30,12,0,3,0,0,0,3,0,0,0,0
52,17,28,0,3,0,0,0,5,0,0,0,0
123,39,76,9,2,0,0,0,7,8,0,1,0
61,14,39,0,3,0,0,0,5,4,0,1,0
23,15,1,0,2,0,0,0,3,0,0,0,0
84,10,67,2,2,0,0,0,6,23,0,0,0
26,17,1,0,2,0,0,0,3,0,0,1,0
29,22,0,0,2,0,0,0,2,2,0,0,1
26,14,5,0,1,0,0,0,3,1,0,0,0
101,18,4,1,4,1,1,1,4,7,0,1,0
121,30,1,4,5,0,2,1,5,33,0,1,0
102,15,80,1,3,0,0,0,11,5,0,0,0
21,7,6,0,1,0,0,0,3,3,0,1,0
37,30,0,0,2,0,0,0,2,1,0,0,1
67,15,45,3,2,0,0,0,5,0,0,0,0
31,14,10,0,3,0,0,0,3,0,0,0,0
77,23,47,0,1,0,0,0,5,23,0,0,0
50,20,23,1,2,0,0,0,5,0,0,0,0
59,29,23,1,3,0,0,0,3,0,0,0,0
58,28,22,0,3,0,0,0,4,0,0,1,0
106,22,77,2,3,0,0,0,8,16,0,0,0
43,34,1,0,2,0,0,0,3,0,0,1,0
38,13,17,0,1,0,0,0,5,4,0,1,0
38,11,20,0,3,0,0,0,5,0,0,0,0
45,37,1,0,1,0,0,0,3,0,0,0,0
140,13,120,6,1,0,0,0,11,1,0,0,0
30,22,1,0,2,0,0,0,3,0,0,0,1
84,9,68,9,1,0,0,0,4,0,0,0,0
25,16,1,0,2,0,0,0,3,0,0,1,0
52,9,36,0,2,0,0,0,6,3,0,0,0
29,17,5,0,1,0,0,0,4,0,0,0,0
221,13,201,1,6,0,0,0,6,46,0,0,0
31,23,1,1,2,0,0,0,3,0,0,0,0
46,13,25,1,1,0,0,0,6,1,0,1,0
31,22,1,0,2,0,0,0,3,0,0,1,0
39,31,1,2,2,0,0,0,3,0,0,0,0
439,14,63,2,3,0,1,0,11,233,0,0,0
78,12,59,4,3,0,0,0,3,7,0,0,0
19,11,1,0,1,0,0,0,3,0,0,0,0
23,14,1,0,3,0,0,0,3,0,0,1,0
22,11,4,0,1,0,0,0,4,2,0,0,0
52,16,28,0,2,0,0,0,4,0,0,1,0
48,21,20,1,2,0,0,0,4,0,0,0,1
41,13,21,0,2,0,0,0,5,0,0,0,0
51,21,23,0,3,0,0,0,5,0,0,0,0
22,13,1,0,2,0,0,0,3,0,0,1,0
102,13,82,1,2,0,0,0,10,5,0,0,0
65,31,26,0,5,1,0,0,3,3,0,1,1
77,31,38,4,2,0,0,0,7,9,0,1,0
47,11,29,0,2,0,0,0,6,0,0,0,0
49,21,20,0,2,0,0,0,4,0,0,1,0
34,25,1,1,3,0,0,0,3,0,0,1,1
40,10,22,0,1,0,0,0,3,0,0,1,0
69,18,43,3,2,0,0,0,5,4,0,1,0
60,26,27,1,2,0,0,0,6,5,0,0,1
52,13,31,0,3,0,0,0,4,1,0,1,0
47,15,24,0,1,0,0,0,6,0,0,1,0
27,18,1,0,2,0,0,0,3,0,0,1,0
30,22,1,0,2,0,0,0,3,0,0,0,0
120,21,92,6,2,0,0,0,6,0,0,0,0
126,50,19,1,4,0,1,3,4,19,0,0,0
47,17,23,0,2,0,0,0,4,3,0,0,0
101,22,7,0,2,0,1,1,3,0,0,0,1
47,39,0,0,2,0,0,0,2,0,0,1,0
49,17,25,0,3,0,0,0,4,0,0,0,0
44,25,12,0,5,0,0,0,4,0,0,0,1
177,32,138,0,16,0,0,0,5,14,0,0,0
66,35,23,1,5,0,0,0,4,2,0,1,1
35,23,5,0,2,0,0,0,4,0,0,0,0
32,18,6,0,2,0,0,0,4,0,0,1,0
59,23,29,1,2,0,0,0,4,10,0,0,0
32,23,1,0,2,0,0,0,3,0,0,1,0
82,16,46,0,2,0,1,1,6,4,0,1,0
26,17,1,0,2,0,0,0,3,0,0,1,0
86,15,26,0,3,1,1,1,6,2,0,0,1
59,37,15,0,2,0,0,0,4,8,0,0,0
26,18,1,0,2,0,0,0,3,0,0,0,0
34,20,7,0,2,0,0,0,3,2,0,0,0
30,21,1,0,2,0,0,0,3,0,0,1,0
58,19,32,4,1,0,0,0,4,0,0,0,0
57,16,22,0,2,0,1,1,5,1,0,1,0
128,50,20,1,4,0,1,3,5,16,0,1,0
56,29,20,2,2,0,0,0,4,3,0,0,0
64,17,40,1,3,0,0,0,8,0,0,0,0
51,21,23,0,2,0,0,0,6,3,0,0,0
29,20,1,0,2,0,0,0,3,0,0,1,0
54,27,19,2,2,0,0,0,4,0,0,1,0
289,33,64,1,3,0,1,4,9,67,0,1,1
47,13,27,0,2,0,0,0,6,0,0,0,0
25,16,1,0,2,0,0,0,3,0,0,1,1
59,18,34,0,2,0,0,0,4,23,0,0,0
25,16,1,0,2,0,0,0,3,0,0,1,0
74,23,43,2,3,0,0,0,4,0,0,1,0
33,15,11,0,3,0,0,0,3,0,0,0,0
33,15,11,0,1,0,0,0,4,0,0,0,0
24,16,1,0,2,0,0,0,3,0,0,0,0
31,23,1,0,2,0,0,0,3,0,0,0,1
37,20,10,0,3,0,0,0,4,0,0,0,0
94,21,65,1,2,0,0,0,10,0,0,1,0
250,47,48,3,6,0,1,0,4,11,0,0,0
63,16,40,0,2,0,0,1,6,0,0,0,0
50,16,26,0,2,0,0,0,4,4,0,1,0
46,16,22,0,2,0,0,0,4,0,0,1,0
35,27,1,0,4,0,0,0,3,0,0,0,0
92,17,67,9,1,0,0,0,5,7,0,1,0
50,15,28,6,2,0,0,0,3,0,0,0,0
26,17,1,0,2,0,0,0,3,3,0,1,0
23,14,1,0,2,0,0,0,3,0,0,1,0
42,16,18,0,2,0,0,0,5,0,0,1,0
77,17,52,0,2,0,0,0,4,3,0,1,0
219,13,91,2,1,0,1,3,12,48,0,1,0
